Order_ID,Order_Date,Customer_ID,Customer_Type,Region,Product_Category,Product_Name,Quantity,Unit_Price,Discount,Revenue,Payment_Mode
ORD001,2023-01-05,CUST101,New,South,Electronics,Smartphone,1,15000,0.05,14250,Credit Card
ORD002,2023-01-07,CUST102,Repeat,West,Furniture,Office Chair,2,5500,0.10,9900,UPI
ORD003,2023-01-10,CUST103,New,East,Electronics,Laptop,1,55000,0.08,50600,Debit Card
ORD004,2023-01-15,CUST104,Repeat,North,Clothing,Formal Shirt,3,1200,0.00,3600,Cash
ORD005,2023-02-02,CUST101,Repeat,South,Electronics,Wireless Earbuds,2,2500,0.05,4750,Credit Card
ORD006,2023-02-05,CUST105,New,West,Clothing,Jeans,2,2000,0.10,3600,UPI
ORD007,2023-02-12,CUST106,Repeat,East,Furniture,Study Table,1,8000,0.00,8000,Debit Card
ORD008,2023-02-18,CUST107,New,North,Electronics,Tablet,1,18000,0.07,16740,Credit Card
ORD009,2023-03-01,CUST102,Repeat,West,Electronics,Smartwatch,1,7000,0.05,6650,UPI
ORD010,2023-03-05,CUST108,New,South,Clothing,T-Shirt,4,800,0.00,3200,Cash
ORD011,2023-03-12,CUST104,Repeat,North,Electronics,Smartphone,1,16000,0.10,14400,Debit Card
ORD012,2023-03-18,CUST109,New,East,Furniture,Bookshelf,1,6000,0.05,5700,Credit Card
ORD013,2023-04-02,CUST110,New,South,Electronics,Laptop,1,58000,0.12,51040,UPI
ORD014,2023-04-08,CUST106,Repeat,East,Clothing,Jacket,1,4500,0.00,4500,Cash
ORD015,2023-04-15,CUST101,Repeat,South,Electronics,Smartphone,1,15500,0.05,14725,Credit Card
ORD016,2023-04-20,CUST111,New,West,Furniture,Office Desk,1,12000,0.10,10800,Debit Card
ORD017,2023-05-05,CUST112,New,North,Clothing,Sneakers,1,3000,0.00,3000,UPI
ORD018,2023-05-12,CUST102,Repeat,West,Electronics,Laptop,1,56000,0.08,51520,Credit Card
ORD019,2023-05-18,CUST113,New,East,Electronics,Headphones,2,2000,0.05,3800,Debit Card
ORD020,2023-05-25,CUST104,Repeat,North,Furniture,Dining Chair,2,4000,0.10,7200,Cash
